id,shape,carat,style,gold,image,image_filename,category
453,pear,2.28,vintage,yellow,https://geer.in/cdn/shop/files/DDLR-141PE_Y1.jpg?v=1751975843,453_DDLR-141PE_Y1.jpg,ring
454,round,2.89,halo,yellow,https://geer.in/cdn/shop/files/DDLR-142RD_Y1.jpg?v=1751975844,454_DDLR-142RD_Y1.jpg,ring
455,round,2.99,ring,rose,https://geer.in/cdn/shop/files/DDLR-143RD_R1.jpg?v=1751975843,455_DDLR-143RD_R1.jpg,ring
456,round,2.16,ring,rose,https://geer.in/cdn/shop/files/DDLR-144RD_R1.jpg?v=1751975843,456_DDLR-144RD_R1.jpg,ring
457,round,2.0,ring,white,https://geer.in/cdn/shop/files/DDLR-112RD_W1.jpg?v=1751975792,457_DDLR-112RD_W1.jpg,ring
458,round,1.0,solitaire,white,https://geer.in/cdn/shop/files/DDLR-146RD_W1.jpg?v=1751975843,458_DDLR-146RD_W1.jpg,ring
459,oval,1.5,solitaire,yellow,https://geer.in/cdn/shop/files/DDLR-147OV_Y1.jpg?v=1751975844,459_DDLR-147OV_Y1.jpg,ring
460,radiant,1.49,halo,yellow,https://geer.in/cdn/shop/files/DDLR-113RA_Y1.jpg?v=1751975813,460_DDLR-113RA_Y1.jpg,ring
461,round,2.0,ring,yellow,https://geer.in/cdn/shop/files/DDLR-148RD_Y1.jpg?v=1751975844,461_DDLR-148RD_Y1.jpg,ring
462,round,2.36,ring,yellow,https://geer.in/cdn/shop/files/DDLR-151RD_Y1.jpg?v=1751975844,462_DDLR-151RD_Y1.jpg,ring
463,pear,8.36,ring,yellow,https://geer.in/cdn/shop/files/DDLR-114PE_Y1.jpg?v=1751975814,463_DDLR-114PE_Y1.jpg,ring
464,round,1.98,ring,rose,https://geer.in/cdn/shop/files/DDLR-152RD_R1.jpg?v=1751975845,464_DDLR-152RD_R1.jpg,ring
465,round,1.75,three stone,white,https://geer.in/cdn/shop/files/DDLR-153RD_W1.jpg?v=1751975844,465_DDLR-153RD_W1.jpg,ring
466,oval,1.28,halo,yellow,https://geer.in/cdn/shop/files/DDLR-116OV_Y1.jpg?v=1751975814,466_DDLR-116OV_Y1.jpg,ring
467,emerald,4.39,ring,white,https://geer.in/cdn/shop/files/DDLR-119EM_W1.jpg?v=1751975812,467_DDLR-119EM_W1.jpg,ring
468,emerald,6.3,ring,rose,https://geer.in/cdn/shop/files/DDLR-120EM_R1.jpg?v=1751975814,468_DDLR-120EM_R1.jpg,ring
469,emerald,2.0,solitaire,rose,https://geer.in/cdn/shop/files/DDLR-121RD_R1.jpg?v=1751975814,469_DDLR-121RD_R1.jpg,ring
470,emerald,2.46,ring,white,https://geer.in/cdn/shop/files/DDLR-122EM_W1.jpg?v=1751975812,470_DDLR-122EM_W1.jpg,ring
471,round,2.76,ring,yellow,https://geer.in/cdn/shop/files/DDLR-123RD_Y1.jpg?v=1751975816,471_DDLR-123RD_Y1.jpg,ring
472,round,1.68,ring,rose,https://geer.in/cdn/shop/files/DDLR-127RD_R1.jpg?v=1751975815,472_DDLR-127RD_R1.jpg,ring
473,round,5.61,ring,yellow,https://geer.in/cdn/shop/files/DDLR-128RD_Y1.jpg?v=1751975816,473_DDLR-128RD_Y1.jpg,ring
474,round,1.76,ring,yellow,https://geer.in/cdn/shop/files/DDLR-129RD_Y1.jpg?v=1751975816,474_DDLR-129RD_Y1.jpg,ring
475,round,3.92,ring,yellow,https://geer.in/cdn/shop/files/DDLR-130RD_Y1.jpg?v=1751975816,475_DDLR-130RD_Y1.jpg,ring
476,round,1.73,ring,rose,https://geer.in/cdn/shop/files/DDLR-131RD_R1.jpg?v=1751975816,476_DDLR-131RD_R1.jpg,ring
477,round,3.46,ring,white,https://geer.in/cdn/shop/files/DDLR-132RD_W1.jpg?v=1751975815,477_DDLR-132RD_W1.jpg,ring
478,princess,1.94,halo,rose,https://geer.in/cdn/shop/files/DDLR-154PR_R1.jpg?v=1751975845,478_DDLR-154PR_R1.jpg,ring
479,emerald,3.29,ring,yellow,https://geer.in/cdn/shop/files/AILR-1404_Y1.jpg?v=1752147155,479_AILR-1404_Y1.jpg,ring
480,round,4.04,ring,rose,https://geer.in/cdn/shop/files/DDLR-155RD_R1.jpg?v=1751975860,480_DDLR-155RD_R1.jpg,ring
481,round,1.78,ring,white,https://geer.in/cdn/shop/files/DDLR-156RD_W1.jpg?v=1751975859,481_DDLR-156RD_W1.jpg,ring
482,round,3.52,ring,rose,https://geer.in/cdn/shop/files/DDLR-157RD_R1.jpg?v=1751975860,482_DDLR-157RD_R1.jpg,ring
483,round,1.5,ring,white,https://geer.in/cdn/shop/files/DDLR-159RD_W1.jpg?v=1751975859,483_DDLR-159RD_W1.jpg,ring
484,princess,2.33,ring,rose,https://geer.in/cdn/shop/files/DDLR-160PR_R1.jpg?v=1751975860,484_DDLR-160PR_R1.jpg,ring
485,oval,2.3,ring,rose,https://geer.in/cdn/shop/files/DDLR-169OV_R1.jpg?v=1751975862,485_DDLR-169OV_R1.jpg,ring
486,oval,2.5,ring,rose,https://geer.in/cdn/shop/files/DDLR-161OV_R1.jpg?v=1751975860,486_DDLR-161OV_R1.jpg,ring
487,round,2.14,ring,white,https://geer.in/cdn/shop/files/DDLR-170RD_W1.jpg?v=1751975876,487_DDLR-170RD_W1.jpg,ring
488,cushion,3.9,halo,rose,https://geer.in/cdn/shop/files/DDLR-162CU_R1.jpg?v=1751975860,488_DDLR-162CU_R1.jpg,ring
489,oval,3.25,ring,white,https://geer.in/cdn/shop/files/DDLR-171OV_W1.jpg?v=1751975877,489_DDLR-171OV_W1.jpg,ring
490,,1.57,ring,rose,https://geer.in/cdn/shop/files/GJLR-168_R1.jpg?v=1750395249,490_GJLR-168_R1.jpg,ring
491,round,1.32,ring,rose,https://geer.in/cdn/shop/files/GJLR-159_R1.jpg?v=1750399900,491_GJLR-159_R1.jpg,ring
492,marquise,1.7,ring,rose,https://geer.in/cdn/shop/files/GJLR-186_R1.jpg?v=1750392798,492_GJLR-186_R1.jpg,ring
493,radiant,1.51,halo,rose,https://geer.in/cdn/shop/files/GJLR-203_R1.jpg?v=1750392867,493_GJLR-203_R1.jpg,ring
494,marquise,3.82,ring,rose,https://geer.in/cdn/shop/files/GJLR-109_R1.jpg?v=1750400051,494_GJLR-109_R1.jpg,ring
495,,2.0,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-035_R1_8ff10dff-054d-4a37-8924-d568db05ec5f.jpg?v=1750400159,495_GJLR-035_R1_8ff10dff-054d-4a37-8924-d568db05ec5f.jpg,ring
496,round,2.18,ring,rose,https://geer.in/cdn/shop/files/GJLR-107_R1.jpg?v=1750400455,496_GJLR-107_R1.jpg,ring
497,round,4.96,ring,rose,https://geer.in/cdn/shop/files/GJLR-106_R1.jpg?v=1750401464,497_GJLR-106_R1.jpg,ring
498,marquise,2.6,ring,rose,https://geer.in/cdn/shop/files/GJLR-121_R1.jpg?v=1750401575,498_GJLR-121_R1.jpg,ring
499,,2.61,solitaire,rose,https://geer.in/cdn/shop/files/GJLR-115_R1.jpg?v=1750401709,499_GJLR-115_R1.jpg,ring
500,,2.07,ring,yellow,https://geer.in/cdn/shop/files/GJLR-155_Y1_865ecd94-00d8-4514-b5f2-c2bfe3d7612b.jpg?v=1750401887,500_GJLR-155_Y1_865ecd94-00d8-4514-b5f2-c2bfe3d7612b.jpg,ring
501,emerald,1.2,ring,yellow,https://geer.in/cdn/shop/files/GJLR-139_Y1.jpg?v=1750236274,501_GJLR-139_Y1.jpg,ring
502,oval,2.16,three stone,yellow,https://geer.in/cdn/shop/files/DDLR-164OV_Y1.jpg?v=1751975861,502_DDLR-164OV_Y1.jpg,ring
